,x,y,z,time,charge,auxiliary
0,35.54,-364.83,208.36,6421,1.0750000476837158,1
1,257.31,211.66,-159.38,6508,1.3250000476837158,1
2,-132.8,-501.45,-504.15,6549,0.824999988079071,1
3,72.37,-66.6,-215.9,6898,1.1749999523162842,1
4,-324.39,-93.43,-163.67,7033,0.7250000238418579,1
5,194.34,-30.92,95.6,7363,1.375,1
6,194.34,-30.92,95.6,7401,0.32499998807907104,1
7,-200.55,-74.03,29.82,7769,0.42500001192092896,1
8,106.94,27.09,-279.91,7956,0.22499999403953552,1
9,174.47,315.54,427.64,8387,0.875,1
10,-492.43,-230.16,106.13,9182,0.7749999761581421,1
11,-88.05,-384.3,74.5,9743,1.0750000476837158,1
12,-481.6,101.39,-314.94,9884,11.875,0
13,-481.6,101.39,-314.94,9887,21.024999618530273,0
14,-481.6,101.39,-314.94,9891,17.375,0
15,-481.6,101.39,-331.96,9893,0.4749999940395355,0
16,-481.6,101.39,-297.92,9897,1.774999976158142,0
17,-481.6,101.39,-331.96,9898,7.875,0
18,-481.6,101.39,-314.94,9900,5.025000095367432,0
19,-481.6,101.39,-331.96,9904,10.274999618530273,0
20,-481.6,101.39,-297.92,9905,2.9749999046325684,0
21,-481.6,101.39,-331.96,9911,3.125,0
22,-481.6,101.39,-297.92,9912,3.5250000953674316,0
23,-481.6,101.39,-331.96,9913,3.5250000953674316,0
24,-481.6,101.39,-331.96,9918,1.975000023841858,0
25,-481.6,101.39,-280.9,9920,1.125,0
26,-481.6,101.39,-314.94,9920,2.2750000953674316,0
27,-481.6,101.39,-297.92,9922,2.075000047683716,0
28,-481.6,101.39,-331.96,9925,2.125,0
29,-481.6,101.39,-280.9,9928,1.774999976158142,0
30,-481.6,101.39,-297.92,9929,1.625,0
31,-481.6,101.39,-314.94,9931,3.575000047683716,0
32,-481.6,101.39,-331.96,9932,1.774999976158142,0
33,-481.6,101.39,-280.9,9934,0.9750000238418579,0
34,-481.6,101.39,-297.92,9937,1.875,0
35,-481.6,101.39,-314.94,9937,3.424999952316284,0
36,-481.6,101.39,-297.92,9946,2.5250000953674316,0
37,-481.6,101.39,-331.96,9946,0.675000011920929,0
